Discipline,Gender,ENG Description,FRA Description,POR Description,SPA Description
AF,0,Global,Général,Geral,General
AQ,0,Global,Général,Geral,General
AR,0,Global,Général,Geral,General
AR,M,Men,Hommes,Masculino,Masculino
AR,W,Women,Femmes,Feminino,Femenino
AT,0,Global,Général,Geral,General
AT,M,Men,Hommes,Masculino,Masculino
AT,W,Women,Femmes,Masculino,Femenino
BD,0,Global,Général,Geral,General
BD,M,Men,Hommes,Masculino,Masculino
BD,W,Women,Femmes,Feminino,Femenino
BD,X,Mixed,Mixte,Misto,Mixto
BK,0,Global,Général,Geral,General
BK,M,Men,Hommes,Masculino,Masculino
BK,W,Women,Femmes,Feminino,Femenino
BV,0,Global,Général,Geral,General
BV,M,Men,Hommes,Masculino,Masculino
BV,W,Women,Femmes,Feminino,Femenino
BX,0,Global,Général,Geral,General
BX,M,Men,Hommes,Masculino,Masculino
BX,W,Women,Femmes,Feminino,Femenino
CA,0,Global,Général,Geral,General
CB,0,Global,Général,Geral,General
CB,M,Men,Hommes,Masculino,Masculino
CB,W,Women,Femmes,Feminino,Femenino
CE,0,Global,Général,Geral,General
CF,0,Global,Général,Geral,General
CF,M,Men,Hommes,Masculino,Masculino
CF,W,Women,Femmes,Feminino,Femenino
CM,0,Global,Général,Geral,General
CM,M,Men,Hommes,Masculino,Masculino
CM,W,Women,Femmes,Feminino,Femenino
CR,0,Global,Général,Geral,General
CR,M,Men,Hommes,Masculino,Masculino
CR,W,Women,Femmes,Feminino,Femenino
CS,0,Global,Général,Geral,General
CS,M,Men,Hommes,Masculino,Masculino
CS,W,Women,Femmes,Feminino,Femenino
CT,0,Global,Général,Geral,General
CT,M,Men,Hommes,Masculino,Masculino
CT,W,Women,Femmes,Feminino,Femenino
CY,0,Global,Général,Geral,General
DV,0,Global,Général,Geral,General
DV,M,Men,Hommes,Masculino,Masculino
DV,W,Women,Femmes,Feminino,Femenino
EQ,0,Global,Général,Geral,General
EQ,X,Mixed,Mixte,Misto,Mixto
FB,0,Global,Général,Geral,General
FB,M,Men,Hommes,Masculino,Masculino
FB,W,Women,Femmes,Feminino,Femenino
FE,0,Global,Général,Geral,General
FE,M,Men,Hommes,Masculino,Masculino
FE,W,Women,Femmes,Feminino,Femenino
GA,0,Global,Général,Geral,General
GA,M,Men,Hommes,Masculino,Masculino
GA,W,Women,Femmes,Feminino,Femenino
GL,0,Global,Général,Geral,General
GO,0,Global,Général,Geral,General
GO,M,Men,Hommes,Masculino,Masculino
GO,W,Women,Femmes,Feminino,Femenino
GR,0,Global,Général,Geral,General
GR,W,Women,Femmes,Feminino,Femenino
GT,0,Global,Général,Geral,General
GT,M,Men,Hommes,Masculino,Masculino
GT,W,Women,Femmes,Feminino,Femenino
GY,0,Global,Général,Geral,General
HB,0,Global,Général,Geral,General
HB,M,Men,Hommes,Masculino,Masculino
HB,W,Women,Femmes,Feminino,Femenino
HO,0,Global,Général,Geral,General
HO,M,Men,Hommes,Masculino,Masculino
HO,W,Women,Femmes,Feminino,Femenino
IA,0,Global,Général,Geral,General
JU,0,Global,Général,Geral,General
JU,M,Men,Hommes,Masculino,Masculino
JU,W,Women,Femmes,Feminino,Femenino
MP,0,Global,Général,Geral,General
MP,M,Men,Hommes,Masculino,Masculino
MP,W,Women,Femmes,Feminino,Femenino
OV,0,Global,Général,Geral,General
OW,0,Global,Général,Geral,General
OW,M,Men,Hommes,Masculino,Masculino
OW,W,Women,Femmes,Feminino,Femenino
PC,0,Global,Général,Geral,General
RO,0,Global,Général,Geral,General
RO,M,Men,Hommes,Masculino,Masculino
RO,W,Women,Femmes,Feminino,Femenino
RU,0,Global,Général,Geral,General
RU,M,Men,Hommes,Masculino,Masculino
RU,W,Women,Femmes,Feminino,Femenino
SA,0,Global,Général,Geral,General
SA,M,Men,Hommes,Masculino,Masculino
SA,W,Women,Femmes,Feminino,Femenino
SA,X,Mixed,Mixte,Misto,Mixto
SH,0,Global,Général,Geral,General
SH,M,Men,Hommes,Masculino,Masculino
SH,W,Women,Femmes,Feminino,Femenino
SW,0,Global,Général,Geral,General
SW,M,Men,Hommes,Masculino,Masculino
SW,W,Women,Femmes,Feminino,Femenino
SY,0,Global,Général,Geral,General
SY,W,Women,Femmes,Feminino,Femenino
TE,0,Global,Général,Geral,General
TE,M,Men,Hommes,Masculino,Masculino
TE,W,Women,Femmes,Feminino,Femenino
TE,X,Mixed,Mixte,Misto,Mixto
TK,0,Global,Général,Geral,General
TK,M,Men,Hommes,Masculino,Masculino
TK,W,Women,Femmes,Feminino,Femenino
TR,0,Global,Général,Geral,General
TR,M,Men,Hommes,Masculino,Masculino
TR,W,Women,Femmes,Feminino,Femenino
TT,0,Global,Général,Geral,General
TT,M,Men,Hommes,Masculino,Masculino
TT,W,Women,Femmes,Feminino,Femenino
UT,0,Global,Général,Geral,General
VB,0,Global,Général,Geral,General
VO,0,Global,Général,Geral,General
VO,M,Men,Hommes,Masculino,Masculino
VO,W,Women,Femmes,Feminino,Femenino
WL,0,Global,Général,Geral,General
WL,M,Men,Hommes,Masculino,Masculino
WL,W,Women,Femmes,Feminino,Femenino
WP,0,Global,Général,Geral,General
WP,M,Men,Hommes,Masculino,Masculino
WP,W,Women,Femmes,Feminino,Femenino
WR,0,Global,Général,Geral,General
WR,M,Men,Hommes,Masculino,Masculino
WR,W,Women,Femmes,Feminino,Femenino
