Id,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription
AFG,Afghanistan,Afghanistan,아프가니스탄,Afghanistan,Afghanistan,아프가니스탄
AHO,Netherlands Antilles,Ant. néerlandaises,네덜란드령 안틸레스 제도,Netherlands Antilles,Antilles néerlandaises,네덜란드령 안틸레스 제도
AIA,Anguilla,Anguilla,앵귈라,Anguilla,Anguilla,앵귈라
ALA,Åland Islands,Îles Åland,올란드 제도,Åland Islands,Îles Åland,올란드 제도
ALB,Albania,Albanie,알바니아,Albania,Albanie,알바니아
ALG,Algeria,Algérie,알제리,Algeria,Algérie,알제리
AND,Andorra,Andorre,안도라,Andorra,Andorre,안도라
ANG,Angola,Angola,앙골라,Angola,Angola,앙골라
ANT,Antigua & Barbuda,Antigua-et-Barbuda,앤티가바부다,Antigua and Barbuda,Antigua-et-Barbuda,앤티가바부다
ANZ,AUS/NZL,AUS/NZL,호주뉴질랜드,Australia/New Zealand,Australie/Nouvelle-Zélande,호주뉴질랜드
APA,Stateless,Apatride,무국적,Stateless,Apatride,무국적
ARG,Argentina,Argentine,아르헨티나,Argentina,Argentine,아르헨티나
ARM,Armenia,Arménie,아르메니아,Armenia,Arménie,아르메니아
ARU,Aruba,Aruba,아루바,Aruba,Aruba,아루바
ASA,American Samoa,Samoa amér.,아메리칸사모아,American Samoa,Samoa américaines,아메리칸사모아
ATA,Antarctica,Antarctique,남극대륙,Antarctica,Antarctique,남극대륙
ATF,French Southern Territories,Terres australes françaises,불령남태평양섬,French Southern Territories,Terres australes françaises,불령남태평양섬
AUS,Australia,Australie,오스트레일리아,Australia,Australie,오스트레일리아
AUT,Austria,Autriche,오스트리아,Austria,Autriche,오스트리아
AZE,Azerbaijan,Azerbaïdjan,아제르바이잔,Azerbaijan,Azerbaïdjan,아제르바이잔
BAH,Bahamas,Bahamas,바하마,Bahamas,Bahamas,바하마
BAN,Bangladesh,Bangladesh,방글라데시,Bangladesh,Bangladesh,방글라데시
BAR,Barbados,Barbade,바베이도스,Barbados,Barbade,바베이도스
BDI,Burundi,Burundi,부룬디,Burundi,Burundi,부룬디
BEL,Belgium,Belgique,벨기에,Belgium,Belgique,벨기에
BEN,Benin,Bénin,베냉,Benin,Bénin,베냉
BER,Bermuda,Bermudes,버뮤다,Bermuda,Bermudes,버뮤다
BES,"Bonaire, Sint Eustatius & Saba","Bonaire, Saint-Eustache & Saba",네덜란드령 카리브,"Bonaire, Sint Eustatius and Saba","Bonaire, Saint-Eustache et Saba",네덜란드령 카리브
BHU,Bhutan,Bhoutan,부탄,Bhutan,Bhoutan,부탄
BIH,Bosnia Herzegovina,Bosnie-Herzégovine,보스니아헤르체고비나,Bosnia and Herzegovina,Bosnie-Herzégovine,보스니아헤르체고비나
BIZ,Belize,Belize,벨리즈,Belize,Belize,벨리즈
BLM,Saint Barthélemy,Saint-Barthélemy,생바르텔레미,Saint Barthélemy,Saint-Barthélemy,생바르텔레미
BLR,Belarus,Bélarus,벨라루스,Belarus,Bélarus,벨라루스
BOL,Bolivia,Bolivie,볼리비아,Bolivia,Bolivie,볼리비아
BOT,Botswana,Botswana,보츠와나,Botswana,Botswana,보츠와나
BRA,Brazil,Brésil,브라질,Brazil,Brésil,브라질
BRN,Bahrain,Bahreïn,바레인,Bahrain,Bahreïn,바레인
BRU,Brunei Darussalam,Brunéi Darussalam,브루나이,Brunei Darussalam,Brunéi Darussalam,브루나이
BUL,Bulgaria,Bulgarie,불가리아,Bulgaria,Bulgarie,불가리아
BUR,Burkina Faso,Burkina Faso,부르키나파소,Burkina Faso,Burkina Faso,부르키나파소
BVT,Bouvet Island,Île Bouvet,부베트,Bouvet Island,Île Bouvet,부베트
CAF,Central African Rep,Rép. centrafricaine,중앙아프리카공화국,Central African Republic,République centrafricaine,중앙아프리카공화국
CAM,Cambodia,Cambodge,캄보디아,Cambodia,Cambodge,캄보디아
CAN,Canada,Canada,캐나다,Canada,Canada,캐나다
CAY,Cayman Islands,Îles Caïmans,케이맨 제도,Cayman Islands,Îles Caïmans,케이맨 제도
CCK,Cocos Islands,Îles Cocos,코코스,Cocos Islands,Îles Cocos,코코스
CGO,Congo,Congo,콩고 공화국,Congo,Congo,콩고 공화국
CHA,Chad,Tchad,차드,Chad,Tchad,차드
CHI,Chile,Chili,칠레,Chile,Chili,칠레
CHN,China,Chine,중국,People's Republic of China,République populaire de Chine,중국
CIS,CIS,CEI,독립국가연합,Commonwealth of Independent States,Communauté des États indépendants,독립국가연합
CIV,Côte d'Ivoire,Côte d'Ivoire,코트디부아르,Côte d'Ivoire,Côte d'Ivoire,코트디부아르
CMR,Cameroon,Cameroun,카메룬,Cameroon,Cameroun,카메룬
COD,D.R. Congo,RD du Congo,콩고 민주 공화국,Democratic Republic of the Congo,République démocratique du Congo,콩고 민주 공화국
COK,Cook Islands,Îles Cook,쿡 아일랜드/쿡 제도,Cook Islands,Îles Cook,쿡 아일랜드/쿡 제도
COL,Colombia,Colombie,콜롬비아,Colombia,Colombie,콜롬비아
COM,Comoros,Comores,코모로,Comoros,Comores,코모로
CPV,Cape Verde,Cap-Vert,카보베르데,Cape Verde,Cap-Vert,카보베르데
CRC,Costa Rica,Costa Rica,코스타리카,Costa Rica,Costa Rica,코스타리카
CRO,Croatia,Croatie,크로아티아,Croatia,Croatie,크로아티아
CUB,Cuba,Cuba,쿠바,Cuba,Cuba,쿠바
CUW,Curaçao,Curaçao,퀴라소,Curaçao,Curaçao,퀴라소
CXR,Christmas Island,Île Christmas,크리스마스,Christmas Island,Île Christmas,크리스마스
CYP,Cyprus,Chypre,키프로스,Cyprus,Chypre,키프로스
CZE,Czech Republic,Rép. tchèque,체코,Czech Republic,République tchèque,체코
DEN,Denmark,Danemark,덴마크,Denmark,Danemark,덴마크
DJI,Djibouti,Djibouti,지부티,Djibouti,Djibouti,지부티
DMA,Dominica,Dominique,도미니카,Dominica,Dominique,도미니카
DOM,Dominican Rep.,Rép. dominicaine,도미니카공화국,Dominican Republic,République dominicaine,도미니카공화국
ECU,Ecuador,Équateur,에콰도르,Ecuador,Équateur,에콰도르
EGY,Egypt,Égypte,이집트,Egypt,Égypte,이집트
ERI,Eritrea,Érythrée,에리트레아,Eritrea,Érythrée,에리트레아
ESA,El Salvador,El Salvador,엘살바도르,El Salvador,El Salvador,엘살바도르
ESH,Western Sahara,Sahara Occidental,서사하라,Western Sahara,Sahara Occidental,서사하라
ESP,Spain,Espagne,스페인,Spain,Espagne,스페인
EST,Estonia,Estonie,에스토니아,Estonia,Estonie,에스토니아
ETH,Ethiopia,Éthiopie,에티오피아,Ethiopia,Éthiopie,에티오피아
EUN,Unified Team,Équipe unifiée,단일팀,Unified Team,Équipe unifiée,단일팀
FIJ,Fiji,Fidji,피지,Fiji,Fidji,피지
FIN,Finland,Finlande,핀란드,Finland,Finlande,핀란드
FLK,Falkland Islands,Îles Malouines,포클랜드,Falkland Islands,Îles Malouines,포클랜드
FRA,France,France,프랑스,France,France,프랑스
FRG,FRG,FRG,독일연방공화국,Federal Republic of Germany,République Fédérale d'Allemagne,독일연방공화국
FRO,Faroe Islands,Îles Féroé,파로에,Faroe Islands,Îles Féroé,파로에
FSM,Micronesia,Micronésie,미크로네시아,Federated States of Micronesia,États fédérés de Micronésie,미크로네시아
GAB,Gabon,Gabon,가봉,Gabon,Gabon,가봉
GAM,Gambia,Gambie,감비아,Gambia,Gambie,감비아
GBR,Great Britain,Grande-Bretagne,영국,Great Britain,Grande-Bretagne,영국
GBS,Guinea-Bissau,Guinée-Bissau,기니비사우,Guinea-Bissau,Guinée-Bissau,기니비사우
GDR,GDR,RDA,동독,GDR,RDA,동독
GEO,Georgia,Géorgie,조지아,Georgia,Géorgie,조지아
GEQ,Equatorial Guinea,Guinée équatoriale,적도 기니,Equatorial Guinea,Guinée équatoriale,적도 기니
GER,Germany,Allemagne,독일,Germany,Allemagne,독일
GGY,Guernsey,Guernesey,건지 섬,Guernsey,Guernesey,건지 섬
GHA,Ghana,Ghana,가나,Ghana,Ghana,가나
GIB,Gibraltar,Gibraltar,지브롤터,Gibraltar,Gibraltar,지브롤터
GLP,Guadeloupe,Guadeloupe,과들루프,Guadeloupe,Guadeloupe,과들루프
GRE,Greece,Grèce,그리스,Greece,Grèce,그리스
GRL,Greenland,Groenland,그린란드,Greenland,Groenland,그린란드
GRN,Grenada,Grenade,그레나다,Grenada,Grenade,그레나다
GUA,Guatemala,Guatemala,과테말라,Guatemala,Guatemala,과테말라
GUF,French Guiana,Guyane française,불령가이아나,French Guiana,Guyane française,불령가이아나
GUI,Guinea,Guinée,기니,Guinea,Guinée,기니
GUM,Guam,Guam,괌,Guam,Guam,괌
GUY,Guyana,Guyana,가이아나,Guyana,Guyana,가이아나
HAI,Haiti,Haïti,아이티,Haiti,Haïti,아이티
HKG,"Hong Kong, China","Hong Kong, Chine",홍콩,"Hong Kong, China","Hong Kong, Chine",홍콩
HMD,Heard Is. and McDonald Is.,Île Heard et Îles MacDonald,허드맥도날드,Heard Island and McDonald Islands,Île Heard et Îles MacDonald,허드맥도날드
HON,Honduras,Honduras,온두라스,Honduras,Honduras,온두라스
HUN,Hungary,Hongrie,헝가리,Hungary,Hongrie,헝가리
IMN,Isle of Man,Île de Man,맨 섬,Isle of Man,Île de Man,맨 섬
INA,Indonesia,Indonésie,인도네시아,Indonesia,Indonésie,인도네시아
IND,India,Inde,인도,India,Inde,인도
IOA,IOA,AOI,올림픽독립선수,Independent Olympic Athletes,Athlètes olympiques indépendants,올림픽독립선수
IOP,IOP,POI,올림픽 독립참가단,Independent Olympic Participants,Participants olympiques indépendants,올림픽 독립참가단
IOT,British Indian Ocean Territory,Ter. britannique de l'oc. Ind.,영령인도양섬,British Indian Ocean Territory,Territoire britannique de l'océan Indien,영령인도양섬
IPA,IPA,API,패럴림픽독립선수,Independent Paralympic Athletes,Athlètes paralympiques indépendants,패럴림픽독립선수
IPP,IPP,PPI,장애인올림픽 독립선수단,Independent Paralympic Participants,Participants paralympiques indépendants,장애인올림픽 독립선수단
IRI,Islamic Rep. of Iran,Iran,이란,Islamic Republic of Iran,République islamique d'Iran,이란
IRL,Ireland,Irlande,아일랜드,Ireland,Irlande,아일랜드
IRQ,Iraq,Iraq,이라크,Iraq,Iraq,이라크
ISL,Iceland,Islande,아이슬란드,Iceland,Islande,아이슬란드
ISR,Israel,Israël,이스라엘,Israel,Israël,이스라엘
ISV,"Virgin Islands, US",Îles Vierges US,버진아일랜드(미국령),"Virgin Islands, US",Îles Vierges des États-Unis,버진아일랜드(미국령)
ITA,Italy,Italie,이탈리아,Italy,Italie,이탈리아
IVB,"Virgin Isl., British",Îles Vierges brit.,영국령 버진아일랜드,"Virgin Islands, British",Îles Vierges britanniques,영국령 버진아일랜드
JAM,Jamaica,Jamaïque,자메이카,Jamaica,Jamaïque,자메이카
JER,Jersey,Jersey,저지 섬,Jersey,Jersey,저지 섬
JOR,Jordan,Jordanie,요르단,Jordan,Jordanie,요르단
JPN,Japan,Japon,일본,Japan,Japon,일본
KAZ,Kazakhstan,Kazakhstan,카자흐스탄,Kazakhstan,Kazakhstan,카자흐스탄
KEN,Kenya,Kenya,케냐,Kenya,Kenya,케냐
KGZ,Kyrgyzstan,Kirghizistan,키르기스스탄,Kyrgyzstan,Kirghizistan,키르기스스탄
KIR,Kiribati,Kiribati,키리바시,Kiribati,Kiribati,키리바시
KOR,Republic of Korea,Rép. de Corée,대한민국,Republic of Korea,République de Corée,대한민국
KOS,Kosovo,Kosovo,코소보,Kosovo,Kosovo,코소보
KSA,Saudi Arabia,Arabie saoudite,사우디 아라비아,Saudi Arabia,Arabie saoudite,사우디 아라비아
KUW,Kuwait,Koweït,쿠웨이트,Kuwait,Koweït,쿠웨이트
LAO,Lao P.D.R.,RDP lao,라오스,Lao People's Democratic Republic,République démocratique populaire lao,라오스
LAT,Latvia,Lettonie,라트비아,Latvia,Lettonie,라트비아
LBA,Libya,Libye,리비아,Libya,Libye,리비아
LBN,Lebanon,Liban,레바논,Lebanon,Liban,레바논
LBR,Liberia,Libéria,라이베리아,Liberia,Libéria,라이베리아
LCA,Saint Lucia,Sainte-Lucie,세인트루시아,Saint Lucia,Sainte-Lucie,세인트루시아
LES,Lesotho,Lesotho,레소토,Lesotho,Lesotho,레소토
LIE,Liechtenstein,Liechtenstein,리히텐슈타인,Liechtenstein,Liechtenstein,리히텐슈타인
LTU,Lithuania,Lituanie,리투아니아,Lithuania,Lituanie,리투아니아
LUX,Luxembourg,Luxembourg,룩셈부르크,Luxembourg,Luxembourg,룩셈부르크
MAC,"Macao, China","Macao, Chine",마카오,"Macao, China","Macao, Chine",마카오
MAD,Madagascar,Madagascar,마다가스카르,Madagascar,Madagascar,마다가스카르
MAF,Saint-Martin,Saint-Martin (PartieFrançaise),생마르텡,Saint-Martin,Saint-Martin (Partie Française),생마르텡
MAR,Morocco,Maroc,모로코,Morocco,Maroc,모로코
MAS,Malaysia,Malaisie,말레이시아,Malaysia,Malaisie,말레이시아
MAW,Malawi,Malawi,말라위,Malawi,Malawi,말라위
MDA,Rep. of Moldova,Rép. de Moldova,몰도바,Republic of Moldova,République de Moldova,몰도바
MDV,Maldives,Maldives,몰디브,Maldives,Maldives,몰디브
MEX,Mexico,Mexique,멕시코,Mexico,Mexique,멕시코
