Id,type,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription
AFG,OC,Afghanistan,Afghanistan,Afeganistão,Afghanistan,Afghanistan,Afeganistão
AHO,OC,Netherlands Antilles,Ant. Néerlandaises,Antilhas Holandesas,Netherlands Antilles,Antilles néerlandaises,Antilhas Holandesas
AIBA,IF,AIBA,AIBA,AIBA,International Boxing Association,Fédération Internationale de Boxe,Associação Internacional de Boxe
ALB,OC,Albania,Albanie,Albânia,Albania,Albanie,Albânia
ALG,OC,Algeria,Algérie,Argélia,Algeria,Algérie,Argélia
AND,OC,Andorra,Andorre,Andorra,Andorra,Andorre,Andorra
ANG,OC,Angola,Angola,Angola,Angola,Angola,Angola
ANT,OC,Antigua and Barbuda,Antigua-et-Barbuda,Antígua e Barbuda,Antigua and Barbuda,Antigua-et-Barbuda,Antígua e Barbuda
ANZ,OC,AUS/NZL,AUS/NZL,AUS/NZL,Australia/New Zealand,Australie/Nouvelle-Zélande,Austrália/Nova Zelândia
ARG,OC,Argentina,Argentine,Argentina,Argentina,Argentine,Argentina
ARM,OC,Armenia,Arménie,Armênia,Armenia,Arménie,Armênia
ARU,OC,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba
ASA,OC,American Samoa,Samoa Américaines,Samoa Americana,American Samoa,Samoa Américaines,Samoa Americana
AUS,OC,Australia,Australie,Austrália,Australia,Australie,Austrália
AUT,OC,Austria,Autriche,Áustria,Austria,Autriche,Áustria
AZE,OC,Azerbaijan,Azerbaïdjan,Azerbaijão,Azerbaijan,Azerbaïdjan,Azerbaijão
BAH,OC,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas
BAN,OC,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
BAR,OC,Barbados,Barbade,Barbados,Barbados,Barbade,Barbados
BDI,OC,Burundi,Burundi,Burundi,Burundi,Burundi,Burundi
BEL,OC,Belgium,Belgique,Bélgica,Belgium,Belgique,Bélgica
BEN,OC,Benin,Bénin,Benin,Benin,Bénin,Benin
BER,OC,Bermuda,Bermudes,Bermudas,Bermuda,Bermudes,Bermudas
BHU,OC,Bhutan,Bhoutan,Butão,Bhutan,Bhoutan,Butão
BIH,OC,Bosnia & Herzegovina,Bosnie-Herzégovine,Bósnia-Herzegovina,Bosnia and Herzegovina,Bosnie-Herzégovine,Bósnia-Herzegovina
BIZ,OC,Belize,Belize,Belize,Belize,Belize,Belize
BLR,OC,Belarus,Bélarus,Belarus,Belarus,Bélarus,Belarus
BOL,OC,Bolivia,Bolivie,Bolívia,Bolivia,Bolivie,Bolívia
BOT,OC,Botswana,Botswana,Botsuana,Botswana,Botswana,Botsuana
BRA,OC,Brazil,Brésil,Brasil,Brazil,Brésil,Brasil
BRN,OC,Bahrain,Bahreïn,Bareine,Bahrain,Bahreïn,Bareine
BRU,OC,Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam,Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam
BUL,OC,Bulgaria,Bulgarie,Bulgária,Bulgaria,Bulgarie,Bulgária
BUR,OC,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
BWF,IF,BWF,BWF,BWF,Badminton World Federation,Fédération Internationale de Badminton,Federação Internacional de Badminton
CAF,OC,Central African Rep.,Rép. Centrafricaine,Rep. Centroafricana,Central African Republic,République Centrafricaine,República Centroafricana
CAM,OC,Cambodia,Cambodge,Camboja,Cambodia,Cambodge,Camboja
CAN,OC,Canada,Canada,Canadá,Canada,Canada,Canadá
CAY,OC,Cayman Islands,Îles Caïmans,Ilhas Cayman,Cayman Islands,Îles Caïmans,Ilhas Cayman
CGO,OC,Congo,Congo,Congo,Congo,Congo,Congo
CHA,OC,Chad,Tchad,Chade,Chad,Tchad,Chade
CHI,OC,Chile,Chili,Chile,Chile,Chili,Chile
CHN,OC,China,Chine,China,People's Republic of China,République populaire de Chine,República Popular da China
CIS,OC,CIS,CIS,CEI,Commonwealth of Independent States,FRA Commonwealth of Independent States,Comunidade dos Estados Independentes
CIV,OC,Côte d'Ivoire,Côte d'Ivoire,Costa do Marfim,Côte d'Ivoire,Côte d'Ivoire,Costa do Marfim
CMR,OC,Cameroon,Cameroun,Camarões,Cameroon,Cameroun,Camarões
COD,OC,DR Congo,RD Congo,"Congo, Rep. Dem.",Democratic Republic of the Congo,République Démocratique du Congo,República Democrática do Congo
COK,OC,Cook Islands,Îles Cook,Ilhas Cook,Cook Islands,Îles Cook,Ilhas Cook
COL,OC,Colombia,Colombie,Colômbia,Colombia,Colombie,Colômbia
COM,OC,Comoros,Comores,Comores,Comoros,Comores,Comores
CPV,OC,Cape Verde,Cap-Vert,Cabo Verde,Cape Verde,Cap-Vert,Cabo Verde
CRC,OC,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica
CRO,OC,Croatia,Croatie,Croácia,Croatia,Croatie,Croácia
CUB,OC,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba
CYP,OC,Cyprus,Chypre,Chipre,Cyprus,Chypre,Chipre
CZE,OC,Czech Republic,République tchèque,República Tcheca,Czech Republic,République tchèque,República Tcheca
DEN,OC,Denmark,Danemark,Dinamarca,Denmark,Danemark,Dinamarca
DJI,OC,Djibouti,Djibouti,Djibuti,Djibouti,Djibouti,Djibuti
DMA,OC,Dominica,Dominique,Dominica,Dominica,Dominique,Dominica
DOM,OC,Dominican Republic,Rép. dominicaine,República Dominicana,Dominican Republic,République dominicaine,República Dominicana
ECU,OC,Ecuador,Équateur,Equador,Ecuador,Équateur,Equador
EGY,OC,Egypt,Égypte,Egito,Egypt,Égypte,Egito
ERI,OC,Eritrea,Érythrée,Eritreia,Eritrea,Érythrée,Eritreia
ESA,OC,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador
ESP,OC,Spain,Espagne,Espanha,Spain,Espagne,Espanha
EST,OC,Estonia,Estonie,Estônia,Estonia,Estonie,Estônia
ETH,OC,Ethiopia,Éthiopie,Etiópia,Ethiopia,Éthiopie,Etiópia
EUN,OC,Unified Team,Équipe unifiée,Equipe Unificada,Unified Team,Équipe unifiée,Equipe Unificada
FEI,IF,FEI,FEI,FEI,International Equestrian Federation,Fédération Équestre Internationale,Federação Internacional de Hipismo
FIBA,IF,FIBA,FIBA,FIBA,International Basketball Federation,Fédération Internationale de Basketball,Federação Internacional de Basquetebol
FIE,IF,FIE,FIE,FIE,International Fencing Federation,Fédération Internationale d'Escrime,Federação Internacional de Esgrima
FIFA,IF,FIFA,FIFA,FIFA,International Football Federation,Fédération Internationale de Football Association,Federação Internacional de Futebol
FIG,IF,FIG,FIG,FIG,International Gymnastics Federation,Fédération Internationale de Gymnastique,Federação Internacional de Ginástica
FIH,IF,FIH,FIH,FIH,International Hockey Federation,Fédération Internationale de Hockey,Federação Internacional de Hóquei sobre Grama
FIJ,OC,Fiji,Fidji,Fiji,Fiji,Fidji,Fiji
