Id,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription
AFG,Afghanistan,Afghanistan,Afeganistão,Afghanistan,Afghanistan,Afeganistão
AHO,Netherlands Antilles,Antilles néerl.,Antilhas Holandesas,Netherlands Antilles,Antilles néerlandaises,Antilhas Holandesas
AIA,Anguilla,Anguilla,Anguilla,Anguilla,Anguilla,Anguilla
ALA,Åland Islands,Îles Åland,Ilhas Åland,Åland Islands,Îles Åland,Ilhas Åland
ALB,Albania,Albanie,Albânia,Albania,Albanie,Albânia
ALG,Algeria,Algérie,Argélia,Algeria,Algérie,Argélia
AND,Andorra,Andorre,Andorra,Andorra,Andorre,Andorra
ANG,Angola,Angola,Angola,Angola,Angola,Angola
ANT,Antigua and Barbuda,Antigua-et-Barbuda,Antígua e Barbuda,Antigua and Barbuda,Antigua-et-Barbuda,Antígua e Barbuda
ANZ,AUS/NZL,AUS/NZL,AUS/NZL,Australia/New Zealand,Australie/Nouvelle-Zélande,Austrrália/Nova Zelândia
APA,Stateless,Apatride,Apátrida,Stateless,Apatride,Apátrida
ARG,Argentina,Argentine,Argentina,Argentina,Argentine,Argentina
ARM,Armenia,Arménie,Armênia,Armenia,Arménie,Armênia
ARU,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba
ASA,American Samoa,Samoa Américaines,Samoa Americana,American Samoa,Samoa Américaines,Samoa Americana
ATA,Antarctica,Antarctique,Antártida,Antarctica,Antarctique,Antártida
ATF,French Southern Territories,Terres australes françaises,Territórios Franceses do Sul,French Southern Territories,Terres australes françaises,Territórios Franceses do Sul
AUS,Australia,Australie,Austrália,Australia,Australie,Austrália
AUT,Austria,Autriche,Áustria,Austria,Autriche,Áustria
AZE,Azerbaijan,Azerbaïdjan,Azerbaijão,Azerbaijan,Azerbaïdjan,Azerbaijão
BAH,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas
BAN,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
BAR,Barbados,Barbade,Barbados,Barbados,Barbade,Barbados
BDI,Burundi,Burundi,Burundi,Burundi,Burundi,Burundi
BEL,Belgium,Belgique,Bélgica,Belgium,Belgique,Bélgica
BEN,Benin,Bénin,Benin,Benin,Bénin,Benin
BER,Bermuda,Bermudes,Bermudas,Bermuda,Bermudes,Bermudas
BES,"Bonaire, Sint Eustatius & Saba","Bonaire, Saint-Eustache & Saba","Bonaire, SantoEustáquio e Saba","Bonaire, Sint Eustatius and Saba","Bonaire, Saint-Eustache et Saba","Bonaire, Santo Eustáquio e Saba"
BHU,Bhutan,Bhoutan,Butão,Bhutan,Bhoutan,Butão
BIH,Bosnia and Herzegovina,Bosnie-Herzégovine,Bósnia-Herzegovina,Bosnia and Herzegovina,Bosnie-Herzégovine,Bósnia-Herzegovina
BIZ,Belize,Belize,Belize,Belize,Belize,Belize
BLM,Saint Barthélemy,Saint-Barthélemy,São Bartolomeu,Saint Barthélemy,Saint-Barthélemy,São Bartolomeu
BLR,Belarus,Bélarus,Belarus,Belarus,Bélarus,Belarus
BOL,Bolivia,Bolivie,Bolívia,Bolivia,Bolivie,Bolívia
BOT,Botswana,Botswana,Botsuana,Botswana,Botswana,Botsuana
BRA,Brazil,Brésil,Brasil,Brazil,Brésil,Brasil
BRN,Bahrain,Bahreïn,Bareine,Bahrain,Bahreïn,Bareine
BRU,Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam,Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam
BUL,Bulgaria,Bulgarie,Bulgária,Bulgaria,Bulgarie,Bulgária
BUR,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
BVT,Bouvet Island,Île Bouvet,Ilha Bouvet,Bouvet Island,Île Bouvet,Ilha Bouvet
CAF,Central African Republic,République Centrafricaine,República Centroafricana,Central African Republic,République Centrafricaine,República Centroafricana
CAM,Cambodia,Cambodge,Camboja,Cambodia,Cambodge,Camboja
CAN,Canada,Canada,Canadá,Canada,Canada,Canadá
CAY,Cayman Islands,Îles Caïmans,Ilhas Cayman,Cayman Islands,Îles Caïmans,Ilhas Cayman
CCK,Cocos Islands,Îles Cocos,Ilhas Cocos,Cocos Islands,Îles Cocos,Ilhas Cocos
CGO,Congo,Congo,Congo,Congo,Congo,Congo
CHA,Chad,Tchad,Chade,Chad,Tchad,Chade
CHI,Chile,Chili,Chile,Chile,Chili,Chile
CHN,People's Republic of China,République populaire de Chine,República Popular da China,People's Republic of China,République populaire de Chine,República Popular da China
CIS,CIS,CIS,CEI,Commonwealth of Independent States,FRA Commonwealth of Independent States,Comunidade dos Estados Independentes
CIV,Côte d'Ivoire,Côte d'Ivoire,Costa do Marfim,Côte d'Ivoire,Côte d'Ivoire,Costa do Marfim
CMR,Cameroon,Cameroun,Camarões,Cameroon,Cameroun,Camarões
COD,DR Congo,RD Congo,"Congo, Rep. Dem.",Democratic Republic of the Congo,République démocratique du Congo,República Democrática do Congo
COK,Cook Islands,Îles Cook,Ilhas Cook,Cook Islands,Îles Cook,Ilhas Cook
COL,Colombia,Colombie,Colômbia,Colombia,Colombie,Colômbia
COM,Comoros,Comores,Comores,Comoros,Comores,Comores
CPV,Cape Verde,Cap-Vert,Cabo Verde,Cape Verde,Cap-Vert,Cabo Verde
CRC,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica
CRO,Croatia,Croatie,Croácia,Croatia,Croatie,Croácia
CUB,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba
CUW,Curaçao,Curaçao,Curaçao,Curaçao,Curaçao,Curaçao
CXR,Christmas Island,Île Christmas,Ilha Christmas,Christmas Island,Île Christmas,Ilha Christmas
CYP,Cyprus,Chypre,Chipre,Cyprus,Chypre,Chipre
CZE,Czech Republic,République tchèque,República Tcheca,Czech Republic,République tchèque,República Tcheca
DEN,Denmark,Danemark,Dinamarca,Denmark,Danemark,Dinamarca
DJI,Djibouti,Djibouti,Djibuti,Djibouti,Djibouti,Djibuti
DMA,Dominica,Dominique,Dominica,Dominica,Dominique,Dominica
DOM,Dominican Republic,République dominicaine,República Dominicana,Dominican Republic,République dominicaine,República Dominicana
ECU,Ecuador,Équateur,Equador,Ecuador,Équateur,Equador
EGY,Egypt,Égypte,Egito,Egypt,Égypte,Egito
ERI,Eritrea,Érythrée,Eritreia,Eritrea,Érythrée,Eritreia
ESA,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador
ESH,Western Sahara,Sahara Occidental,Saara Ocidental,Western Sahara,Sahara Occidental,Saara Ocidental
ESP,Spain,Espagne,Espanha,Spain,Espagne,Espanha
EST,Estonia,Estonie,Estônia,Estonia,Estonie,Estônia
ETH,Ethiopia,Éthiopie,Etiópia,Ethiopia,Éthiopie,Etiópia
EUN,Unified Team,Équipe unifiée,Equipe Unificada,Unified Team,Équipe unifiée,Equipe Unificada
FIJ,Fiji,Fidji,Fiji,Fiji,Fidji,Fiji
FIN,Finland,Finlande,Finlândia,Finland,Finlande,Finlândia
FLK,Falkland Islands,Îles Malouines,Ilhas Malvinas,Falkland Islands,Îles Malouines,Ilhas Malvinas
FRA,France,France,França,France,France,França
FRG,FRG,FRG,Alemanha Ocidental,Federal Republic of Germany,République Fédérale d'Allemagne,República Federal da Alemanha
FRO,Faroe Islands,Îles Féroé,Ilhas Feroé,Faroe Islands,Îles Féroé,Ilhas Feroé
FSM,Federated States of Micronesia,États fédérés de Micronésie,Estad. Federados da Micronésia,Federated States of Micronesia,États fédérés de Micronésie,Estados Federados da Micronésia
GAB,Gabon,Gabon,Gabão,Gabon,Gabon,Gabão
GAM,Gambia,Gambie,Gâmbia,Gambia,Gambie,Gâmbia
GBR,Great Britain,Grande-Bretagne,Grã-Bretanha,Great Britain,Grande-Bretagne,Grã-Bretanha
GBS,Guinea-Bissau,Guinée-Bissau,Guiné-Bissau,Guinea-Bissau,Guinée-Bissau,Guiné-Bissau
GDR,GDR,RDA,Alemanha Oriental,GDR,RDA,República Democrática Alemã
GEO,Georgia,Géorgie,Geórgia,Georgia,Géorgie,Geórgia
GEQ,Equatorial Guinea,Guinée équatoriale,Guiné Equatorial,Equatorial Guinea,Guinée équatoriale,Guiné Equatorial
GER,Germany,Allemagne,Alemanha,Germany,Allemagne,Alemanha
GGY,Guernsey,Guernesey,Guernsey,Guernsey,Guernesey,Guernsey
GHA,Ghana,Ghana,Gana,Ghana,Ghana,Gana
GIB,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar
GLP,Guadeloupe,Guadeloupe,Guadalupe,Guadeloupe,Guadeloupe,Guadalupe
GRE,Greece,Grèce,Grécia,Greece,Grèce,Grécia
GRL,Greenland,Groenland,Groenlândia,Greenland,Groenland,Groenlândia
GRN,Grenada,Grenade,Granada,Grenada,Grenade,Granada
GUA,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala
GUF,French Guiana,Guyane française,Guiana Francesa,French Guiana,Guyane française,Guiana Francesa
GUI,Guinea,Guinée,Guiné,Guinea,Guinée,Guiné
GUM,Guam,Guam,Guam,Guam,Guam,Guam
GUY,Guyana,Guyana,Guiana,Guyana,Guyana,Guiana
HAI,Haiti,Haïti,Haiti,Haiti,Haïti,Haiti
HKG,"Hong Kong, China","Hong Kong, Chine","Hong Kong, China","Hong Kong, China","Hong Kong, Chine","Hong Kong, China"
HMD,Heard Is. and McDonald Is.,Île Heard et Îles MacDonald,Ilha Heard e Ilhas McDonald,Heard Island and McDonald Islands,Île Heard et Îles MacDonald,Ilha Heard e Ilhas McDonald
