Code,Venue,ENG Name,ENG Short Name
AR1,TBS,Elimination Range,Elimination Range,,
AR2,TBS,Ranking Rd Field,Ranking Rd Field
BAC,BAC,Baku Aquatics Centre,Baku Aquatics Centre
BBA,BBA,Basketball Arena,Basketball Arena
BD1,BSH,Court 1,Court 1
BD2,BSH,Court 2,Court 2
BD3,BSH,Court 3,Court 3
BE1,BEA,Centre Court,Centre Court
BE2,BEA,Court 2,Court 2
BE3,BEA,Court 3,Court 3
BE4,BEA,Court 4,Court 4
BEA,BEA,Beach Arena,Beach Arena
BIL,BIL,Bilgah Beach,Bilgah Beach
BK1,BBA,Central Court,Central Court
BK2,BBA,Court 2,Court 2
BMX,BMX,BMX Velopark,BMX Velopark
BSH,BSH,Baku Sports Hall,Baku Sports Hall
BX1,CH2,Crystal Hall 2,Crystal Hall 2
CH1,CH1,Crystal Hall 1,Crystal Hall 1
CH2,CH2,Crystal Hall 2,Crystal Hall 2
CH3,CH3,Crystal Hall 3,Crystal Hall 3
FDQ,FSQ,Freedom Square,Freedom Square
FE1,CH3,Piste 1,Piste 1
FE2,CH3,Piste 2,Piste 2
FE3,CH3,Piste 3,Piste 3
FE4,CH3,Piste 4,Piste 4
FE5,CH3,Finals Piste,Finals Piste
FE6,CH3,Red Piste,Red Piste
FE7,CH3,Blue Piste,Blue Piste
FE8,CH3,Yellow Piste,Yellow Piste
FE9,CH3,Green Piste,Green Piste
HAA,HAA,Heydar Aliyev Arena,Heydar Aliyev Arena
JU1,HAA,Tatami 1,Tatami 1
JU2,HAA,Tatami 2,Tatami 2
JU3,HAA,Tatami 3,Tatami 3
KA1,CH3,Tatami 1,Tatami 1
KA2,CH3,Tatami 2,Tatami 2
MIG,MIG,Mingachevir,Mingachevir
NGA,NGA,National Gymnastics Arena,National Gymnastics Arena,,
SC1,HAA,Mat A,Mat A
SC2,HAA,Mat B,Mat B
SC3,HAA,Mat C,Mat C
SH1,SHO,Pistol & Rifle 10m Range,Pistol & Rifle 10m Range
SH2,SHO,Pistol & Rifle 25m Range,Pistol & Rifle 25m Range
SH3,SHO,Pistol & Rifle 50m Range,Pistol & Rifle 50m Range
SH4,SHO,Pistol & Rifle Finals Range,Pistol & Rifle Finals Range,,
SH5,SHO,Shotgun Range,Shotgun Range
SHO,SHO,Baku Shooting Centre,Baku Shooting Centre
STA,STA,Stadium,Stadium
TB1,BSH,Table 1,Table 1
TB2,BSH,Table 2,Table 2
TB3,BSH,Table 3,Table 3
TB4,BSH,Table 4,Table 4
TBS,TBS,Tofiq Bahramov Stadium,Tofiq Bahramov Stadium
VEL,VEL,Mountain Bike Velopark,Mountain Bike Velopark
WAP,WAP,Water Polo Arena,Water Polo Arena
WP1,WAP,Pool 1,Pool 1
WP2,WAP,Pool 2,Pool 2
WRA,HAA,Mat A,Mat A
WRB,HAA,Mat B,Mat B
WRC,HAA,Mat C,Mat C
